Kernel:linear | Gamma:1 e C:1 | Accuracy: 44.74% | channel: ['E126']| count: 6
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 7
Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 8
Kernel:sigmoid | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 9
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 10
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 11
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 12
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 13
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 42.11% | channel: ['E126']| count: 14
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 44.74% | channel: ['E126']| count: 15
Kernel:linear | Gamma:1 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 16
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 17
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 44.74% | channel: ['E126']| count: 18
Kernel:linear | Gamma:0.01 e C:10 | Accuracy: 42.11% | channel: ['E126']| count: 19
Kernel:linear | Gamma:10 e C:10 | Accuracy: 42.11% | channel: ['E126']| count: 20
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 47.37% | channel: ['E126']| count: 21
Kernel:linear | Gamma:0.01 e C:1 | Accuracy: 42.11% | channel: ['E126']| count: 22
Kernel:linear | Gamma:0.1 e C:1 | Accuracy: 42.11% | channel: ['E126']| count: 23
Kernel:sigmoid | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 24
Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 25
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 55.26% | channel: ['E126']| count: 26
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 27
Kernel:linear | Gamma:0.001 e C:1 | Accuracy: 42.11% | channel: ['E126']| count: 28
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 44.74% | channel: ['E126']| count: 29
Kernel:linear | Gamma:0.01 e C:100 | Accuracy: 47.37% | channel: ['E126']| count: 30
Kernel:linear | Gamma:1e-06 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 31
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 47.37% | channel: ['E126']| count: 32
Kernel:rbf | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E126']| count: 33
Kernel:sigmoid | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 34
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 47.37% | channel: ['E126']| count: 35
Kernel:rbf | Gamma:0.1 e C:10 | Accuracy: 47.37% | channel: ['E126']| count: 36
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 37
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 38
Kernel:linear | Gamma:0.01 e C:10 | Accuracy: 50.00% | channel: ['E126']| count: 39
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 40
Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 41
Kernel:linear | Gamma:10 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 42
Kernel:linear | Gamma:1 e C:1 | Accuracy: 42.11% | channel: ['E126']| count: 43
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 47.37% | channel: ['E126']| count: 44
Kernel:linear | Gamma:1 e C:100 | Accuracy: 47.37% | channel: ['E126']| count: 45
Kernel:poly | Gamma:10 e C:0.1 | Accuracy: 42.11% | channel: ['E126']| count: 46
Kernel:sigmoid | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E126']| count: 47
Kernel:linear | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 48
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 44.74% | channel: ['E126']| count: 49
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 44.74% | channel: ['E126']| count: 50
Kernel:linear | Gamma:0.01 e C:100 | Accuracy: 47.37% | channel: ['E126']| count: 51
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 52
Kernel:linear | Gamma:1 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 53
Kernel:linear | Gamma:0.001 e C:1000 | Accuracy: 44.74% | channel: ['E126']| count: 54
Kernel:linear | Gamma:0.001 e C:1 | Accuracy: 44.74% | channel: ['E126']| count: 55
